ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
908,Schalkholz,Schalkholz (2),Germany,9.27,54.24,Whole,Unspecified,Unspecified,Ranis Point,Bokelmann 1978,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y?,-,N,N,2D,Y,X,,N,Schalkholz_2_4,,Y,Continuous,Right
909,Schellnäcker Wänd,Schellnäcker Wänd,Germany,11.8,48.95,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Naber 1977,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schellnacker_Wand_1,,Y,Continuous,Left
910,Schellnäcker Wänd,Schellnäcker Wänd,Germany,11.8,48.95,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Naber 1977,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schellnacker_Wand_2,,Y,Continuous,Right
911,Schney,Schney,Germany,11.06,50.17,Whole,Unspecified,Atzenhofer,Backed Point (Unspecified),Schönweiß 1974; Werner 1981/82; Müller and Schönweiß 1985/86,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Schney_2,,Y,Continuous,Left
912,Schney,Schney,Germany,11.06,50.17,Whole,Unspecified,Atzenhofer,Backed Point (Unspecified),Schönweiß 1974; Werner 1981/82; Müller and Schönweiß 1985/86,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Schney_3,,Y,Continuous,Left
913,Schney,Schney,Germany,11.06,50.17,Whole,Unspecified,Atzenhofer,Azilian/Federmesser Point,Schönweiß 1974; Werner 1981/82; Müller and Schönweiß 1985/86,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Schney_4,,Y,Continuous,Right
914,Schney,Schney,Germany,11.06,50.17,Whole,Unspecified,Atzenhofer,Azilian/Federmesser Point,Schönweiß 1974; Werner 1981/82; Müller and Schönweiß 1985/86,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Schney_5,,Y,Continuous,Right
915,Schobüll,Schobüll,Germany,9.04,54.52,Whole,Unspecified,Unspecified,Creswellian Point,Schönweiß 1974; Werner 1981/82; Müller and Schönweiß 1985/86,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schobull_1,,Y,Continuous,Right
916,Schobüll,Schobüll,Germany,9.04,54.52,Whole,Unspecified,Unspecified,Creswellian Point,Hinz 1954; Schwabedissen 1955; Taute 1963; Bantelmann 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schobull_2,,Y,Continuous,Right
917,Schobüll,Schobüll,Germany,9.04,54.52,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Hinz 1954; Schwabedissen 1955; Taute 1963; Bantelmann 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schobull_3,,Y,Continuous,Right
918,Schobüll,Schobüll,Germany,9.04,54.52,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Hinz 1954; Schwabedissen 1955; Taute 1963; Bantelmann 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schobull_4,,Y,Continuous,Right
919,Schwielochsee,Schwielochsee,Germany,14.22,52,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Hinz 1954; Schwabedissen 1955; Taute 1963; Bantelmann 1992,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schwielochsee_1,,Y,Continuous,Right
920,Schwielochsee,Schwielochsee,Germany,14.22,52,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Barthel 1975,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,Y,N,2D,Y,X,,N,Schwielochsee_2,,Y,Continuous,Right
921,Schwitschen,Schwitschen,Germany,9.63,53.02,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Barthel 1975,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schwitschen_3,,Y,Continuous,Left
922,Schwitschen,Schwitschen,Germany,9.63,53.02,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Dehnke 1964,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schwitschen_4,,Y,Continuous,Left
923,Schwitschen,Schwitschen,Germany,9.63,53.02,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Dehnke 1964,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Schwitschen_5,,Y,Continuous,Both
924,Sebuzin,Sebuzin,Czech Republic,14.1,50.6,Whole,Unspecified,Ostromer,Azilian/Federmesser Point,Dehnke 1964,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Sebuzin_1,,Y,Continuous,Right
925,Sebuzin,Sebuzin,Czech Republic,14.1,50.6,Whole,Unspecified,Ostromer,Backed Point (Unspecified),Vencl 1970a; Vencl 1970b; Vencl 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Sebuzin_2,,Y,Continuous,Right
926,Seelitz,Seelitz,Germany,12.83,51.01,Whole,Unspecified,Unspecified,Azilian/Federmesser Point,Vencl 1970a; Vencl 1970b; Vencl 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Seelitz_1,,Y,Continuous,Right
927,Sinzheim,Sinzheim (Halbestung),Germany,8.15,48.75,Whole,Unspecified,Unspecified,Ranis Point,Geupel 1985,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Sinzheim_Halbestung_1,,Y,Continuous,Right
928,Sögel,Sögel,Germany,7.5,52.83,Whole,Federmesser,Rissener,Backed Point (Unspecified),Gersbach 1951,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Sogel_1,,Y,Continuous,Left
929,Sögel,Sögel,Germany,7.5,52.83,Whole,Federmesser,Rissener,Appelscha Point,Schwabedissen 1954,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Sogel_2,,Y,Continuous,Right
930,Sölbjerg,Sölbjerg,Denmark,11.13,54.76,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Schwabedissen 1954,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Allerod,Typology,N,-,N,N,2D,Y,X,,N,Solbjerg_1,,Y,Continuous,Left
931,Sölbjerg,Sölbjerg,Denmark,11.13,54.76,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Petersen and Johansen 1994,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Allerod,Typology,N,-,N,N,2D,Y,X,,N,Solbjerg_2,,Y,Continuous,Right
932,Sölbjerg,Sölbjerg,Denmark,11.13,54.76,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Petersen and Johansen 1994,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Allerod,Typology,N,-,N,N,2D,Y,X,,N,Solbjerg_3,,Y,Continuous,Left
933,Sous,Sous,Czech Republic,13.67,50.55,Whole,Unspecified,Ostromer,Backed Point (Unspecified),Petersen and Johansen 1994,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Sous_1,,Y,Continuous,Right
934,Sous,Sous,Czech Republic,13.67,50.55,Whole,Unspecified,Ostromer,Backed Point (Unspecified),Vencl 1970b; Vencl 1987,Surface Collection,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,N,-,N,N,2D,Y,X,,N,Sous_2,,Y,Continuous,Left
935,Spernsdorf,Spernsdorf,Germany,12.87,51.08,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Vencl 1970b; Vencl 1987,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Spernsdorf_1,,Y,Continuous,Left
936,Sprenge,Sprenge (4),Germany,10.37,53.69,Whole,Federmesser,Wehlener,Westerbeck Point,Geupel 1985,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Y,AB; LY,N,N,2D,Y,X,,N,Sprenge_4_1,,Y,Continuous,Left
937,Steinbergwand,Steinbergwand (VIII),Germany,11.98,49.35,Whole,Unspecified,Probstfels,Taucha Point,Schwabedissen 1954,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,Y?,-,N,N,2D,Y,X,,N,Steinbergwand_8_1,,Y,Continuous,Right
938,Steinbergwand,Steinbergwand (VIII),Germany,11.98,49.35,Whole,Unspecified,Probstfels,Backed Point (Unspecified),Andree 1939; Taute 1971,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Allerod,Typology,Y?,-,N,N,2D,Y,X,,N,Steinbergwand_8_2,,Y,Continuous,Right
939,Steinkirche,Steinkirche,Germany,10.39,51.7,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Andree 1939; Taute 1971,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Steinkirche_1,,Y,Continuous,Right
940,Steinkirche,Steinkirche,Germany,10.39,51.7,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Schwabedissen 1954; Jakob-Friesen 1959; Claus 1978; Veil 1988; Veil and Nielbock 1992,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Steinkirche_2,,Y,Continuous,Left
941,Steinkirche,Steinkirche,Germany,10.39,51.7,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Schwabedissen 1954; Jakob-Friesen 1959; Claus 1978; Veil 1988; Veil and Nielbock 1992,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Steinkirche_3,,Y,Continuous,Right
942,Taucha,Taucha,Germany,12.51,51.39,Whole,Unspecified,Unspecified,Taucha Point,Schwabedissen 1954; Jakob-Friesen 1959; Claus 1978; Veil 1988; Veil and Nielbock 1992,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Taucha_2,,Y,Continuous,Right
943,Taucha,Taucha,Germany,12.51,51.39,Whole,Unspecified,Unspecified,Creswellian Point,Dunkel and Dunkel 1977; Geupel 1985,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Taucha_4,,Y,Continuous,Right
944,Taucha,Taucha,Germany,12.51,51.39,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Dunkel and Dunkel 1977; Geupel 1985,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Taucha_5,,Y,Continuous,Left
945,Teltwisch,Teltwisch 5,Germany,10.2,53.64,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Dunkel and Dunkel 1977; Geupel 1985,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,Y,AB; LY,N,N,2D,Y,X,,N,Teltwisch_5_1,,Y,Continuous,Right
946,Teltwisch,Teltwisch-Süd,Germany,10.04,53.63,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Tromnau 1973; Tromnau 1973/74; Tromnau 1975,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allerod,Stratigraphy,N,-,N,N,2D,Y,X,,N,Teltwisch_Sud_1,,N,Continuous,Right
947,Tolk,Tolk (A),Germany,9.62,54.61,Whole,Lyngby,Tolk-Sprenge,Backed Point (Unspecified),Tromnau 1973; Tromnau 1973/74; Tromnau 1975,Mixed,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allerod-Younger Dryas,Typology,Y,AB; LY,N,N,2D,Y,X,,N,Tolk_A_1,,Y,Continuous,Left
948,Tolk,Tolk (A),Germany,9.62,54.61,Whole,Lyngby,Tolk-Sprenge,Backed Point (Unspecified),Taute 1968,Mixed,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allerod-Younger Dryas,Typology,Y,AB; LY,N,N,2D,Y,X,,N,Tolk_A_5,,Y,Continuous,Left
949,Trebur,Trebur,Germany,8.4,49.93,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Taute 1968,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Trebur_1,,Y,Continuous,Right
950,Trieb-Karolinenhöhe,Trieb-Karolinenhöhe,Germany,10.91,49.49,Whole,Unspecified,Atzenhofer,Taucha Point,Fiedler 1990b; Fiedler 1994,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Trieb_Karolinenhohe_1,,Y,Discontinuous,Right
951,Uckersdorf,Uckersdorf,Germany,12.29,49.46,Whole,Unspecified,Atzenhofer,Azilian/Federmesser Point,Schönweiß 1974; Naber 1974b,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Uckersdorf_1,,Y,Continuous,Right
952,Ueddinger Broich,Ueddinger Broich,Germany,6.58,51.2,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Schönweiß 1992,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Ueddinger_Broich_1,,Y,Continuous,Right
953,Ueddinger Broich,Ueddinger Broich,Germany,6.58,51.2,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Heinen 1990,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Ueddinger_Broich_2,,Y,Continuous,Right
954,Ueddinger Broich,Ueddinger Broich,Germany,6.58,51.2,Whole,Unspecified,Unspecified,Appelscha Point,Heinen 1990,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Ueddinger_Broich_3,,Y,Continuous,Right
955,Ueddinger Broich,Ueddinger Broich,Germany,6.58,51.2,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Heinen 1990,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Ueddinger_Broich_4,,Y,Continuous,Both
956,Unken,Unken,Austria,12.76,47.64,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Heinen 1990,Excavation,Absolute,,,11230,600,KI-1115,,11660,620,KI-1116/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Unken_2,,Y,Continuous,Right
957,Urbar,Urbar,Germany,7.62,50.38,Whole,Federmesser,Unspecified,Backed Point (Unspecified),Adler and Menke 1978,Excavation,Absolute,,,11350,120,OxA-1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Urbar_1,,Y,Continuous,Left
958,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Eiden and Lohr 1973/74; Lohr 1978; Bosinski 1992; Mewis 1993,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_10,,N,Continuous,Right
959,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_11,,N,Continuous,Right
960,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_12,,Y,Continuous,Right
961,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Appelscha Point,Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_14,,Y,Continuous,Right
962,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_15,,Y,Continuous,Left
963,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_16,,Y,Continuous,Left
964,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Backed Point (Unspecified),Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_17,,Y,Discontinuous,Left
965,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Cheddar Point,Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_18,,Y,Continuous,Right
966,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Penknife Point,Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_2,,Y,Continuous,Right
967,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Westerbeck Point,Grimm et al. 2012; Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_20,,Y,Continuous,Left
968,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Creswellian Point,Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_21,,Y,Discontinuous,Right
969,Usselo,Usselo,The Netherlands,6.82,52.19,Whole,Federmesser,Tjonger,Creswellian Point,Bohmers 1947; Schwabedissen 1954; Stapert and Veenstra 1988,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Allerod-Dryas III,Stratigraphy,N,-,N,N,2D,Y,X,,N,Usselo_22,,Y,Continuous,Left
