ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
27,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_17,,Y,Continuous,Left
28,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_18,,Y,Continuous,Left
29,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_2,,Y,Continuous,Right
30,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Appelscha Point,Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_20,,Y,Continuous,Left
31,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Appelscha Point,Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_21,,Y,Continuous,Right
32,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_24,,Y,Continuous,Right
33,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_26,,Y,Continuous,Left
34,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_27,,Y,Continuous,Left
35,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Azilian/Federmesser Point,Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_3,,Y,Continuous,Right
36,Abri Rochedane,Abri Rochedane (B),France,6.76,47.34,Whole,Azilian,Unspecified,Backed Point (Unspecified),Thevenin 1982a; Thevenin 1982b; Straus 1985; Thevenin 1989,Excavation,Absolute,,,10730,190,Ly-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_Rochedane_B_5,,Y,Continuous,Right
